"CODIGO","MARCA","FECHA","HORA","DIA"
"A1B2C","HP","1/1/2024","8:00","Monday"
"D3E4F","Dell","1/2/2024","10:00","Tuesday"
"G5H6I","Lenovo","1/3/2024","13:00","Wednesday"
"J7K8L","Apple","1/4/2024","9:00","Thursday"
"M9N0P","ASUS","1/5/2024","11:00","Friday"
"Q1R2S","Acer","1/6/2024","14:00","Saturday"
"T3U4V","HP","1/8/2024","16:00","Monday"
"W5X6Y","Dell","1/8/2024","8:00","Monday"
"Z7A8B","Lenovo","1/9/2024","12:00","Tuesday"
"C9D0E","Apple","1/10/2024","10:00","Wednesday"
"F1G2H","ASUS","1/11/2024","15:00","Thursday"
"I3J4K","Acer","1/12/2024","11:00","Friday"
"L5M6N","HP","1/13/2024","9:00","Saturday"
"O7P8Q","Dell","1/17/2024","14:00","Wednesday"
"R9S0T","Lenovo","1/15/2024","16:00","Monday"
"U1V2W","Apple","1/16/2024","10:00","Tuesday"
"X3Y4Z","ASUS","1/17/2024","13:00","Wednesday"
"A5B6C","Acer","1/18/2024","15:00","Thursday"
"D7E8F","HP","1/19/2024","11:00","Friday"
"G9H0I","Dell","1/20/2024","9:00","Saturday"
"J1K2L","Lenovo","1/24/2024","12:00","Wednesday"
"M3N4O","Apple","1/22/2024","14:00","Monday"
"P5Q6R","ASUS","1/23/2024","8:00","Tuesday"
"S7T8U","Acer","1/24/2024","11:00","Wednesday"
"V9W0X","HP","1/25/2024","13:00","Thursday"
"Y1Z2A","Dell","1/26/2024","15:00","Friday"
"B3C4D","Lenovo","1/27/2024","9:00","Saturday"
"E5F6G","Apple","1/29/2024","11:00","Monday"
"H7I8J","ASUS","1/29/2024","14:00","Monday"
"K9L0M","Acer","1/30/2024","16:00","Tuesday"
"N1O2P","HP","1/31/2024","8:00","Wednesday"
"Q3R4S","Dell","2/1/2024","10:00","Thursday"
"T5U6V","Lenovo","2/2/2024","12:00","Friday"
"W7X8Y","Apple","2/3/2024","9:00","Saturday"
"Z9A0B","ASUS","2/9/2024","13:00","Friday"
"C1D2E","Acer","2/5/2024","15:00","Monday"
"F3G4H","HP","2/6/2024","11:00","Tuesday"
"I5J6K","Dell","2/7/2024","14:00","Wednesday"
"L7M8N","Lenovo","2/8/2024","16:00","Thursday"
"O9P0Q","Apple","2/9/2024","8:00","Friday"
"R1S2T","ASUS","2/10/2024","11:00","Saturday"
"U3V4W","Acer","2/19/2024","13:00","Monday"
"X5Y6Z","HP","2/12/2024","10:00","Monday"
"A7B8C","Dell","2/13/2024","12:00","Tuesday"
"D9E0F","Lenovo","2/14/2024","14:00","Wednesday"
"G1H2I","Apple","2/15/2024","9:00","Thursday"
"J3K4L","ASUS","2/16/2024","11:00","Friday"
"M5N6O","Acer","2/17/2024","15:00","Saturday"
"P7Q8R","HP","2/19/2024","8:00","Monday"
"S9T0U","Dell","2/19/2024","10:00","Monday"
"V1W2X","Lenovo","2/20/2024","12:00","Tuesday"
"Y3Z4A","Apple","2/21/2024","9:00","Wednesday"
"B5C6D","ASUS","2/22/2024","11:00","Thursday"
"E7F8G","Acer","2/23/2024","14:00","Friday"
"H9I0J","HP","2/24/2024","16:00","Saturday"
"K1L2M","Dell","2/26/2024","8:00","Monday"
"N3O4P","Lenovo","2/26/2024","11:00","Monday"
"Q5R6S","Apple","2/27/2024","13:00","Tuesday"
"T7U8V","ASUS","2/28/2024","15:00","Wednesday"
"W9X0Y","Acer","2/29/2024","9:00","Thursday"
"A1B2C","HP","1/1/2024","8:00","Monday"
"D3E4F","Dell","1/2/2024","10:00","Tuesday"
"G5H6I","Lenovo","1/3/2024","13:00","Wednesday"
"J7K8L","Apple","1/4/2024","9:00","Thursday"
"M9N0P","ASUS","1/5/2024","11:00","Friday"
"Q1R2S","Acer","1/6/2024","14:00","Saturday"
"T3U4V","HP","1/9/2024","16:00","Tuesday"
"W5X6Y","Dell","1/8/2024","8:00","Monday"
"Z7A8B","Lenovo","1/9/2024","12:00","Tuesday"
"C9D0E","Apple","1/10/2024","10:00","Wednesday"
"F1G2H","ASUS","1/11/2024","15:00","Thursday"
"I3J4K","Acer","1/12/2024","11:00","Friday"
"L5M6N","HP","1/13/2024","9:00","Saturday"
"O7P8Q","Dell","1/17/2024","14:00","Wednesday"
"R9S0T","Lenovo","1/15/2024","16:00","Monday"
"U1V2W","Apple","1/16/2024","10:00","Tuesday"
"X3Y4Z","ASUS","1/17/2024","13:00","Wednesday"
"A5B6C","Acer","1/18/2024","15:00","Thursday"
"D7E8F","HP","1/19/2024","11:00","Friday"
"G9H0I","Dell","1/20/2024","9:00","Saturday"
"J1K2L","Lenovo","1/23/2024","12:00","Tuesday"
"M3N4O","Apple","1/22/2024","14:00","Monday"
"P5Q6R","ASUS","1/23/2024","8:00","Tuesday"
"S7T8U","Acer","1/24/2024","11:00","Wednesday"
"V9W0X","HP","1/25/2024","13:00","Thursday"
"Y1Z2A","Dell","1/26/2024","15:00","Friday"
"B3C4D","Lenovo","1/27/2024","9:00","Saturday"
"E5F6G","Apple","1/30/2024","11:00","Tuesday"
"H7I8J","ASUS","1/29/2024","14:00","Monday"
"K9L0M","Acer","1/30/2024","16:00","Tuesday"
"N1O2P","HP","1/31/2024","8:00","Wednesday"
"Q3R4S","Dell","2/1/2024","10:00","Thursday"
"T5U6V","Lenovo","2/2/2024","12:00","Friday"
"W7X8Y","Apple","2/3/2024","9:00","Saturday"
